標題,連結,內文,來源,時間
越南北部大雨致暴洪土石流釀7死 部分民房遭沖走,https://news.google.com/read/CBMiWkFVX3lxTE5JVU1uYjR5SGdWajNncEdOdTlOZGtCV0xaai01aVR2ZmR3dEFQNkNFNlhpN014UGVWTzExdTVWTmZSRUM3MjRYUEpGRGFvSE92OWtUX2h3bGIxd9IBX0FVX3lxTE5KNm8yUm1Fd1NSa0QxUmRXYl9mUWhmVFBuRWtob2RqT2VETFptMEtINWFZV0VyZzhUSVpJWkZfa190bWNod19qazFOaGdndkVaSmRuWWpROEpvZVhpcVdn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"越南防災官員和國營媒體「年輕人報」（Tuoi Tre）今天指出，國內北部地區遭逢大雨引發暴洪和土石流災情，造成7人死亡，還有部分房屋被沖走或受損。
法新社報導，經歷了傾盆大雨後，越南北部的山羅省（Son La）通報5人喪命，奠邊省（Dien Bien）則通報2人死亡。
當地防災官員表示，救難人員持續在這些山區省分搜尋10位被通報失蹤的民眾。
年輕人報的報導提到，奠邊省的孟蓬村（MuongPon）今晨有10戶房屋遭暴洪沖走，另有8戶民房受損。
越南北部從23日起降下大雨，包含首都河內郊區在內的許多地區，都被泥濘的洪水淹過。
每年6月至11月期間，越南經常有強降雨，進而引發洪患及土石流災情。
科學家已經提出警告，因為氣候變遷影響，全球各地的極端天氣事件變得愈來愈頻繁且猛烈。",經濟日報,7月25日
日本山形縣秋田縣大雨3死 逾千棟民宅淹水,https://news.google.com/read/CBMiWkFVX3lxTFB5anNoM1o0WVR3ak12T3J6ZS1fdGVVNG01bVVDU0p0cFNoVldfRmdheE5JdEp2VmJ5aTA5dVdVVFFkOUlocjNINFdNSV9FSWktdWlIWVpYQjlYd9IBX0FVX3lxTE9Lay1qdWt3RVFYYjlCX1RpY1hpaFV2ODNrMmQ5aFB5YVduT0pwMFduUGdhYjduUzZVV3VVUkYxc2EzbEFRU1REblpibjZmSlhVV1Vjc2FHVkE3T2FYcFBN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本山形縣、秋田縣上週降下破紀錄大雨，已知造成3人死亡、多地水患與土石流等災情，超過1000棟民宅淹水。山形新幹線山形站至新庄站區間停駛至8月中旬。
日本放送協會（NHK）報導，山形縣與秋田縣受到梅雨鋒面影響，上週降下破紀錄大雨，導致最上川等多條河流氾濫，進一步造成多地淹水、土石流等災情。
山形縣內各地方政府表示，截至昨天下午4時，17個市町村約1100棟民宅淹水，包含遊佐町約350棟，戶澤村與酒田市分別約300棟。
另外，秋田縣政府表示，北秋田市有2棟民宅遭土石流侵襲受損；由利本莊市、橫手市等地共164棟民宅遭遇程度不一的淹水，還有長照機構也出現淹水災情。
山形縣與秋田縣內的地方政府仍在確認受災全貌。
山形地方電視台櫻桃電視台（SAY）報導，JR東日本公司宣布，受到豪雨影響，山形新幹線往返山形站至新庄站區間的列車停駛到8月中旬。
地方鐵道路線部分，JR東日本山形分支表示，奧羽本線村山站至新庄站之間的列車停駛到8月中；奧羽本線新庄站至院內站、陸羽東線及陸羽西線等部分區間停駛，目前不清楚何時能搶通。
NHK詢問山形縣與秋田縣警方後得知，受到大雨影響，兩縣各有2人與1人，總共3人死亡，其中包含山形縣新庄市的1名員警。
本月25日有兩名員警駕駛巡邏車值勤時，在山形縣新庄市一座橋梁附近遭大水沖走失聯，其中1名警察不幸死亡；昨天在警車被沖走的地點附近，有人發現1名男性死者，警方正在確認身分。
秋田市1名86歲老翁26日被人發現陳屍於雄物川。警方初步研判他疑似掉入水位上漲的河川中罹難。
至於失蹤部分，山形縣酒田市1名86歲婦人欲與家人撤離，行走在河畔步道時下落不明；25日，秋田縣湯澤市一處道路工地發生土石流，1名年逾六旬工程人員被捲入，至今生死未卜。",經濟日報,7月29日
大雨致日本秋田河川決堤 新潟多處道路淹水,https://news.google.com/read/CBMiWkFVX3lxTE9wNGJNeFo0TUpaeHFWRndQYXpjbUY2OW8wQmhGVmZVOG5EOWdDbVl1eTV5LUFuU1FsdFRHdnY0V21YeEVPVmM3eTVMX2hmRUNOblBhcTNuaXFUZ9IBX0FVX3lxTFBJUkI2Y19BV1lXTTFYNEhBbEF0QlFSVWpfMVAtRWxGbk1OQkc5cWZzYWt0cFhyWE1zUWRTRFJOUldCZ3FqT3FPU2QzNnd5OWdqdU15MmlRNDl2RklNWmpR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本秋田縣受到梅雨鋒面與暖濕空氣影響，昨天傍晚至今天上午降下大雨，由利本莊市內有河堤潰堤之外，當地民宅等也遭遇淹水。此外，新潟縣也被大雨侵襲，導致多處道路淹水。
讀賣新聞報導，流經由利本莊市的石澤川因為大雨氾濫，且在今天清晨時決堤。市府今天清晨2時25分針對周邊地區總共86戶人家共231人發布避難情報中警戒程度最高的「緊急安全確保」。而市內部分道路淹水，局部地區聯外道路被阻斷。
由利本莊市東由利地區今晨4時前的24小時累計雨量，堪比往年7月單月的193.5毫米雨量，創當地有統計以來的新高紀錄。
由利本莊市旁邊的仁賀保市，1名消防隊員在河川附近巡邏時，被倒下電線桿的線狀物品勾到受傷，初步研判為輕傷。
根據讀賣新聞彙整，截至今天上午7時前，由利本莊市、仁賀保市兩個地區至少有17棟建物地板進水，再加上鄰近的橫手市與大仙市，4個地區共38棟建物地板進水。
日本放送協會（NHK）報導，氣象廳指出，受到太平壓高壓的邊緣暖濕空氣流入影響，秋田縣之外，山形縣與新潟縣等地的大氣狀態相當不穩定。
根據氣象廳雷達分析，截至今天上午9時，山形縣酒田市南部附近時雨量約100毫米；截至今天上午9時10分，山形縣遊佐町附近時雨量約110毫米；研判山形縣酒田市北部附近降下約100毫米的猛烈降雨。
氣象廳認為這些地區有發生災害之虞，相繼針對以上地區發布了「記錄性短時間大雨情報（資訊）」。
新潟縣北部為主的地區因為相同原因降下大雨，新潟市因此出現災情。根據新潟地方氣象台，新潟市內今天上午7時10分之前，觀測到時雨量45.5毫米的激烈雨勢。
新潟市政府表示，市內逾20處的道路淹水，有3輛車被水淹沒，部分地區實施交通管制。當地警方指出，目前未傳出有民眾因大雨受傷。",經濟日報,7月25日
破紀錄大雨後 日本山形新幹線部分區間提前至8/1復駛,https://news.google.com/read/CBMiWkFVX3lxTE5lUmNLZ3ZTdEhKV2VaMFRuREdpRGxxMU1QNUI5a3E2UGNNNnQzYk4yMHR1N2tfRUwyMzlLcW9FUUpvS3B1bVRJWlI1SHBiZ1dNalAzb2pydWpEQdIBX0FVX3lxTE0tRDlCMWhWX2NaNTVHbkRXcnVJVC1HeVZrNXFGaGNsbUoyV2V5YVJRZkhVLTU4bDVOLWJCaHgzM0J5dElRRzJYSXVaNkl6Zkt0b2NDZXhHX0hlSmlMbUUw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本山形縣與秋田縣上週降下破紀錄豪雨，導致山形新幹線宣布部分區間停駛至8月中旬。JR東日本公司今天宣布，原定停駛至8月中的大部分區間將提前至8月1日恢復通車。
朝日電視台報導，JR東日本公司昨天宣布，受到豪雨影響，山形新幹線往返山形站至新庄站（山形新幹線的終點站）區間的雙向列車將停駛到8月中旬左右。
然而，JR東日本公司掌握災情並預估搶修時間後，今天宣布提前復駛，往返山形站至大石田站之間的雙向列車將自8月1日起恢復通車；往返大石田站至新庄站區間的旅客則將利用接駁車進行疏運。
受到大雨影響，地方鐵路的奧羽本線沿線也出現災情，包括芦澤站與舟形站區間鐵軌旁的山壁大面積崩落，因此村山站至新庄站之間的雙向列車原本預計也將停駛到8月中旬。
隨著其他區間的修復進度確定之後，部分區間的雙向列車復駛時間也提早到8月1日。",經濟日報,7月29日
印度南部大雨釀土石流 至少12死數百家戶受困或被埋,https://news.google.com/read/CBMid0FVX3lxTE5uYWdjYV85RVVRUGhhWjlvT3dtbENkMHpTcUtfQUs2R1Y0cDltT0ZxUlgtZ0FyN29BT1VFeDVtMjlxSi00TG5xbHVFVmFvcjAtYW9CblBESkdwTndaaWMzaUtsOUhtS3g3QndzT2E0Qm1YNW5QbDBr0gFfQVVfeXFMUDZqV0hlZmwzWDVxV1duUkg4VnEyeXBnVkg0aEFhMVFBd01odVhrcm9Ea3o1ZnBIQmw2cTl1SHlYbkhTcWZnYWo3U0ZkREc2S3JMaGttajRGVklaTmtldEE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"印度南部克勒拉邦（Kerala）瓦亞納德縣（Wayanad）山區清晨發生土石流，至少已有12人死亡，另有數目不明的村民受困或遭到掩埋。受到強勁風雨影響，搜救行動面臨困難。
由於連日降雨，瓦亞納德縣2處山區在今天凌晨2時及4時左右，各發生一波大規模土石流。克勒拉邦災難管理署（KSDMA）表示，多支救災單位已展開救援行動，鄰近地區的救災小組正趕往災區馳援中。
救援小組成員在電視轉播中說，目前已挖出12具遺體，包括2名兒童在內，但由於交通與通訊阻絕，災區受困人數暫時不明。
當地媒體引述村民報導，可能有400戶家庭受困或遭到掩埋。
克勒拉邦災難管理署（KSDMA）今晨表示，災區未來數小時仍將面臨強勁雨勢，風速可達到每小時50公里，低窪地區料將淹水，倒下的樹木可能導致停電，部分房屋可能受損。
印度目前正值雨季。德里27日傍晚突降大雨，一家設於地下室的公務員考試補習班很快被淹沒，出口狹小加上積水達到10英呎高，3名學生不幸溺斃。
德里當局發現許多補習班非法利用地下室作為補習地點，連日來大規模掃蕩，查封13家補習班以及補習班使用的地下室。",經濟日報,7月30日
快訊》雨勢再升級！8縣市大雨特報氣象署：台東留意豪雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTE90eHdfQzR1X194c1k1LTlOajNINEVuSUNXaUplb21reVFkUERoYkZmX3YycjJXU3V0VVZuejNkczJIa0xxeXNpQmlHNEZmUjFhZGNhSTNHeGh4dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署發布豪雨特報，氣象署表示，受到低壓帶影響，易有短延時強降雨，今(27)日台東縣有局部大雨或豪雨，苗栗、花蓮、蘭嶼、綠島、南部地區及新竹、台中、南投山區有局部大雨發生的機率。
氣象署提醒，民眾應注意雷擊及強陣風，連日降雨，請注意坍方、落石及土石流，沿海低窪地區請慎防淹水，民眾應避免進入山區及河川活動。",Newtalk新聞,7月27日
凱米過境花蓮東大門夜市滿目瘡痍 連續3天暫停營業,https://news.google.com/read/CBMi3gJBVV95cUxPbGZCaThyRWRSdGJhOGtxb0RXamtDajRSWE9CSjU0U2JQVWFvOEhVZ2p2LUxzQnY5ZFV4Q2dMUkJOOEZFTmtvUkNLODA2dTBnQ21Vb2JIdFVWd1BhczB4WU1XZ25HTnpNZ2V3YkdzMXdVZXVBLThaalZXRXZIODMzWkVzaXd1S2xiTGZLYldnMEtVeHVFTTNPYTNraXRTdGduVFhyOG0ydUFYNTRRV0RQY3YtaDJxOGhHNEFOVEhxUWRXcHFzX0JpalZOQVJCTVNGTXNBR3BqOHk0QkQ4cHRkZlhBYkQ5YXU2anUyMC1OZmQ5d1JWQVloV1FGdml5TzlneTVNWm5QOTdRY1c4ZUNHb3FyTmxmR3k5cl9ROGFxWkMtTEoxbWl0RnhFMVc5dzNKUG1UZ3lyUTNZeWY1Y1d0VEk4dVNNYkp5em02Zml2OUExbUs3V1otZUdNU0hDZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"颱風凱米昨（24）日給花蓮帶來強風大雨，花蓮市區不斷傳出有路樹倒塌等災情，甚至還發生中興路大樓女兒牆掉落砸到臨停車，造成母子1死1重傷悲劇。而知名的東大門夜市經過風雨摧殘，滿目瘡痍的畫面也曝光，今（25）日再度宣布暫停營業，連今天在內已經因為颱風連休3天。
東大門夜市臉書粉專今發文指出，經過昨天凱米過境，東大門夜市現在滿目瘡痍，昨天的風雨真的沒有在開玩笑的，「還有夜市園區裡的動物們（指裝置藝術），昨天大概跟著凱米一起狂歡，但忘記回家了，所以我們也要協助他們回到原來的地方。」
粉專表示，需要一些時間處理夜市的公共區域，攤商們也都要重新整理攤舖，整理好會立即跟大家公告，因此今天夜市還是暫停營業，會盡快以最棒的樣貌回歸。
更多鏡週刊報導
多元計程車慘被停車場招牌砸中 網喊：營業損失難算了
凱米肆虐花蓮！ 驚見｢巨型摩艾像｣遭強風吹斷躺路邊
高雄旗山「濟公像」淹水了 5縣市淹水「一級警戒區曝」",Yahoo奇摩新聞,7月25日
低氣壓靠近水氣略增嘉義以南局部大雨山區尤要注意| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBZRVNieTFUbExETDlEYUNwM2dIclBQSEJLdlVXSWN3LXVoMnN0YWJ4dGpkWDZKSl9RVzFYb3E1TUo3YVVaUlctM245OVdrQ1BsZnFxMzhscmJTdw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本南方的低壓帶，在琉球附近海面，正向西北西緩慢移動。中央氣象署表示，今天（6日）受到低氣壓接近影響，水氣稍微增多，基隆北海岸、大台北地區與澎湖將有局部短暫陣雨，其他地區與金門、馬祖則是多雲天氣。午後，西半部地區與東半部山區有局部短暫雷陣雨，嘉義以南地區與苗栗以南山區，並有局部大雨，中南部山區則要小心局部短延時豪雨。
天氣仍然偏熱，溫度方面，各地高溫約在攝氏34至35度，感受上較悶熱，外出活動務必要注意補充水分。
受到日本南方海面低壓帶逐漸靠近影響，水氣增加，天氣越來越不穩定。除了基隆北海岸與大台北地區可能出現局部短暫陣雨外，氣象署指出，在午後熱力作用下，西半部地區與東半部山區也將有局部短暫雷陣雨，尤其是嘉義以南地區與苗栗以南山區有局部大雨發生機率，夜晚至清晨時段，中南部地區也將有局部短暫陣雨。
此外，中南部山區有局部豪雨發生的機率，氣象署呼籲民眾留意短延時強降雨，可能伴隨雷擊、強陣風等劇烈天氣。",Newtalk新聞,6 天前
快訊》15縣市午後大雨特報！氣象署：新北、桃園大雷雨持續一小時| 生活,https://news.google.com/read/CBMiWkFVX3lxTE92UVZWT1hIek1lNDY5ZXU1Um5IZlNoaXo1d2I0aXkxUW8zYlNSaTJaNThLb2ZHaXdMdERQc2VrWWRaSUJRSUd2a3poUTloay1ueVZtWlc3QTVOUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"對流雲系發展旺盛，易有短延時強降雨，中央氣象署午後發布大雨特報，今(7)日北部、南投、南部、花蓮地區及台中、雲林、嘉義、宜蘭、台東山區有局部大雨發生。氣象署並針對新北、桃園發布大雷雨消息，將持續一小時。
氣象署對15縣市發布大雨特報，包括北部、南投、南部、花蓮地區及台中、雲林、嘉義、宜蘭、台東，須注意雷擊及強陣風，山區慎防坍方、落石及溪水暴漲，低窪地區請慎防積水。
氣象署也特別針對「新北市、桃園市」發布大雷雨即時訊息，持續時間至14時15分止。另氣象署也對新北市發災防告警，將持續到下午15時。氣象署提醒，旺盛發展的對流常伴隨打雷、閃電與劇烈降雨，並可能出現較強陣風甚或伴隨冰雹發生。
15縣市大雨特報。   圖：翻攝自中央氣象署官網",Newtalk新聞,5 天前
嘉南5縣市恐有局部短延時豪雨花東北桃高溫拉警報| 生活,https://news.google.com/read/CBMiWkFVX3lxTFAwN2JVTU1YWGtRdVBmaV9iUVpxeHNpdU1sczBLVnJHeTlnc3dvZlh3LTRTMm1kTzFtc2o3eU5WaHhVeE8zTTBtbXlPeHhKX1N4TzlKMFZGLTJvZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"受到低壓帶影響，易有短延時強降雨，中央氣象署警告，今天（9日）嘉義縣、台南市將有局部大雨或豪雨發生機率，而嘉義市與高雄、屏東地區也可能有局部大雨，請民眾小心雷擊與強陣風，山區請慎防坍方及落石。另外，中午前後，花蓮可能連續出現攝氏36度高溫；包括雙北、桃園市與台東縣也亮起高溫黃色燈號，請避免非必要的戶外活動，多補充水份。
輕度颱風「瑪莉亞」凌晨2時的中心位置．在東京東南方840公里海面上，距離臺北東北東方2460公里，以每小時20公里速度，向北進行，對台無影響。
要注意的是在琉球南方海面的低氣壓，持續向東緩慢移動。
受到低壓帶影響，中南部地區與澎湖今天將有短暫陣雨或雷雨，並有局部大雨發生的機率，尤其中南部地區有局部短延時豪雨發生的機率，還請民眾注意。
其他地區包括馬祖、金門則是多雲，午後有局部短暫雷陣雨的天氣。午後，北部、東北部與東部山區，將有局部大雨發生機率；而蘭嶼、恆春半島則容易有較強陣風，請留意。",Newtalk新聞,3 天前
快訊》低壓帶挾強降雨！氣象署：午後9縣市大雨特報| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1IWlJfazVuazk0REk0aXNkTXMxdmdoMFNEN0NaQUVUWnhvc25veXU5ZHAtdWo1dTV5SklCMkw0YnBTN2lTTW1DM21BMVE4VEd0SnVLeUlTY3pvQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"低壓帶影響，易有短延時強降雨，中央氣象署發布大雨特報，今(29)日新竹、苗栗、南部地區及中部山區有局部大雨發生的機率，請注意雷擊及強陣風，山區慎防坍方、落石及溪水暴漲，低窪地區請慎防積水。
氣象署針對9縣市發布大雨特報，包括新竹縣、苗栗縣、台中市、南投縣、雲林縣、嘉義縣、台南市、高雄市、屏東縣。",Newtalk新聞,7月29日
快訊》大雨特報！大雷雨狂轟南部3縣市 雨勢持續2小時,https://news.google.com/read/CBMiWkFVX3lxTFA3djU5OHBpVk5US2ZPN3pRVEVoY2F3TWVVTW9zSUZJbzd0b0hvaEtMSTRtRUxQQkY3MkU3M2VsMUNVOTNXM1pCaS1PYkFwQnRMR2ZvQnJKc1YzZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"受到凱米西南氣流影響，今(26)日11時4分氣象署發布大雷雨即時訊息， 中南部今有大雨或豪雨，氣象署真對高雄市、台南市、嘉義縣發布大雷雨訊息，雨勢持續2小時。
氣象署提醒，路面濕滑，步行與開車請注意安全。能見度低，請注意行車安全、減速慢行。請進入室內，遠離山頂、屋頂、涼亭、獨立樹下、溪流或水塘，位於空曠區域應蹲下並盡量減少與地面接觸的面積。切勿在河流、溪澗或低窪地區逗留。避免從事水上活動，如釣魚、划船、游泳等。駕車人士如駛經高速公路或天橋，應提防強勁陣風吹襲。
大雷雨即時訊息示警區域 :
嘉義縣：水上鄉、中埔鄉、大埔鄉
台南市：白河區、柳營區、後壁區、東山區、六甲區、官田區、大內區、新化區、善化區、新市區、安定區、山上區、玉井區、楠西區、南化區、左鎮區、仁德區、歸仁區、關廟區、龍崎區、永康區、東區、南區、北區、安南區、安平區、中西區
高雄市：鼓山區、左營區、楠梓區、岡山區、橋頭區、燕巢區、田寮區、阿蓮區、路竹區、湖內區、茄萣區、永安區、彌陀區、梓官區",Newtalk新聞,7月26日
中國極端風暴北移 陝西豪雨成災 20多輛車被沖走、市區癱瘓 甘肅人畜受困,https://news.google.com/read/CBMiwwNBVV95cUxNVW1VTC1xTWxVOFhpZHZSV3lITzNBTjN4dnRNYmdmQ0gxSV9jMExhTE92UWRkcktMT0xmbFlmcnNPU0hTbml5MDVBSDd6RFBKTk9TN2hYZW5rODRoZG1YaTkyajFHN1RqNzlKUUR0clVYZFVpMnVkNUtWVWtKV2pKTTV1SHFEZXk1UUtCSkF5MXRwV2VWdThBdjdaenRkUnhSVENGR1FqSWJMSHJDQkxwd1d6MjNDbkJlalZVcDFhWnAwV1hrU29lTkdrYnRTNV90Y3ZpUHZZMDFROEk3N0pXSXlLTzdVeHdSb3B1VWsxM1Y2b3FzTEJuQzQ1SXc0SUo1elhrRi16U3ViS05jVFh1Zmk5QnlHZmI5dmZBbmJtYlBrUGVVaS1zdmg0SkVJazRLdU5PaVhrOXp1Ymo0Skp2RlQ4dTlnTXhzckJrOWplUjFYXzBpRlhtWmZZeWU0TUc3MWJVc0VPbHE2YUhXY2ZmWmtkb0laUDN0NlF5V3JVTWpkSnQtcDlRRGFsTWRscDExTzhRc2VQelhDNlJOVy1YMHN0ZTNHZFVIbGNSNW5OZl9sZEJZS2thOVJ2Z01DWkZmeEFN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中國官媒央視報導，隨著先前襲擊南方的極端風暴北移，中部與西部省分豪雨成災，陝西省部分城市7月17日迎來破紀錄降雨，寶雞市雨量為全省之最，甚至有觀測站出現24小時突破200毫米，而渭河支流石壩河河水出現1981年來最高洪峰值，河水奔騰、沖垮道路，並引發土石流，市區陷入癱瘓，民眾目睹至少20多輛汽車被洪水沖走，寶雞市近1300人疏散，而相關受災地區已超過1.5萬人被疏散。
甘肅省的山洪暴發也令多條高速公路受損，交通中斷，當局持續搶通道路中；青海省也出現由於河水暴漲，導致牧民與羊群被困的景象，救援人員緊急協助撤離。中央氣象台18日對河南、安徽、江蘇、四川盆地西部約10個地區，發出暴雨黃色警報；個別省分如山東、四川等，也針對極端天氣提升警戒級別，提醒各地小心防災。",Yahoo奇摩新聞,7月17日
韓國梅雨季豪雨不斷 首都圈多處發布洪水警報,https://news.google.com/read/CBMiWkFVX3lxTE1NNEducFcyZlM1MTdZbmxPMGVncTRIdm1obnNfNzFBTzlxbEFHZjBWbWVXRjNIUnNOcHN3N2o3dzI1Y1JQQVJOVkpNN1JjTkpxMzFZWFNLQlFiUdIBX0FVX3lxTFBqRDVxLTRXb2gtSFVLbWczRUYxdWphLVR3OTFmZDRnU01UN2lfdnZvOTMwQjZFOXY2d0JBQkRsYklHbnZ0OEx0cUhBa1NqOF9HcU15UmxxRTlnZDc1d1dn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"韓國梅雨季暴雨來勢洶洶，首爾市全域、仁川市等全國各地發布豪雨特報，首爾市、京畿道等多處首都圈地區都發布洪水特報，提醒民眾注意外出安全，並管制部分公路，加派人力避免暴雨帶來災情。
截至韓國時間上午10時為止，韓國氣象廳對首爾全市、仁川、京畿道大部分地區發布豪雨警報與豪雨注意報，表示降雨量可能在3小時內達到90釐米，或在12小時內達到180釐米以上；豪雨注意報地區降雨量則可能在3小時內達60釐米以上，或在12小時內達110毫米以上。
就京畿道東豆川市新川與坡州市汶山川發布的洪水注意報都已上調為「洪水警報」，並追加對首爾道林川、京畿道高陽市恭陵川、坡州市臨津江等多條河川發布洪水注意報。
依韓國警報標準，河川水位超過洪水位50%時發布洪水注意報，超過70%時則上調為洪水警報。發布豪雨特報地區河川皆會管制人員出入。
韓國中央災難安全對策本部表示，16日起以京畿道北部地區為中心降下連日豪雨，以坡州市降雨量最高，2天內達到約600釐米雨量，很有可能造成嚴重災情。當局將針對山地、河川、地下車道、半地下室住宅等容易出現災情地區迅速採取疏散人員等措施。
對策本部指出，梅雨季預期還將延續很長時間，要求中央部會與各地方政府等相關單位「為最糟的情況作好準備」，韓國行政安全部今早也在首爾等首都圈地區及忠清南道一帶發布豪雨警報後，上調中央災難安全對策本部等級至第2階段，並將豪雨危機警報從「注意」上調為「警戒」。",經濟日報,7月18日
河南極端暴雨 南陽單日雨量超過600毫米,https://news.google.com/read/CBMiZkFVX3lxTE1kVXljN2dYRWxpbWxwcGlYdHBsdzU4czFya2J3Z25FN3M3NnZneVNITHcwaW5iZEh0bHU0aXZMREUzQTUyWm5aNE4wOWYteEZGZnZVc0xGVVcxX2h0Y0JfbkVGZTZzd9IBa0FVX3lxTE1kZEV5U2tuQUZrcWR5aHpOYUc5d0FmNUEtTTFyb2lYckpnRnNBY255V0FjVUVZWUk2d21CU3ZUV3VVU0MwQnZqOEVLZEQxQU1MTFo1NDFycURUM2pmSG9mREszVVhvYkFqdzJz?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


中國河南省連日降下極端暴雨，南陽市出現單日683.5毫米的破紀錄降雨量，多地淹水嚴重。（圖取自微博）
〔中央社〕中國河南省連日降下極端暴雨，南陽市出現單日683.5毫米的破紀錄降雨量，多地淹水嚴重，民眾說從沒遇過這麼大的雨。由於暴雨天氣仍將持續兩天，多座水庫持續洩洪，災情恐將擴大。
綜合央視新聞、界面新聞等陸媒報導，昨天迄今，河南西南部、中東部降下極端特大暴雨，南陽盆地出現災情，不少房屋被淹。河南省氣象台今晚6時30分發布最高等級的暴雨紅色預警。
請繼續往下閱讀...

中國氣象局指出，16日淩晨開始，南陽盆地遭遇極端強降雨，南陽、周口、許昌等地出現特大暴雨，最大降雨量出現在南陽社旗縣大馮營，若按昨天3時至今天3時統計，大馮營降雨量達到683.5毫米；最大每小時降雨量高達148.3毫米，大幅打破紀錄。
根據中國中央氣象台，15日9時至16日8時，中國降雨量前10名，河南就占9席，其中，南陽社旗以418.6毫米居全國第一。其後，河南社旗氣象站數據未再更新，氣象局回應稱，當地觀測站被淹被雷擊，正在搶修中。
河南省防汛抗旱指揮部早上8時針對南陽啟動防汛一級應急回應。
氣象預報顯示，未來2天，河南南部和東部仍將有暴雨。截至上午9時，河南已有7座大型水庫、22座中型水庫出現超汛限水位（超過防汛期水位上限），相繼啟動洩洪。接下來，災情恐雪上加霜。
網路影片顯示，南陽多地淹水嚴重，許多路段積水深至腰部，社旗縣淹水最高達1.5公尺。一名店鋪老闆因為貨物全部泡水損失慘重，他表示「往年沒有見過這麼大的雨」。
河南6月間才熬過大旱，現在又降下破紀錄暴雨。
家住在社旗縣三里橋村的鄭女士今天說，目前正在遭遇大洪水，已經有大半個村子在水裡泡著。「村子四面原本都是田地，現在玉米以及蔬菜類的農作物都在水裡泡著，損失嚴重」。
中國河南省連日降下極端暴雨，南陽市出現單日683.5毫米的破紀錄降雨量，多地淹水嚴重。（圖取自微博）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,7月16日
